speciesNameSCI	imageName	imageSourceUrl	PhotographerName	photographerUrl	license
Motacilla flava	Motacilla flava	http://www.flickr.com/photos/ressaure/4721211536/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Motacilla cinerea	Grey wagtail - Motacilla cinerea - Straumerla	http://www.flickr.com/photos/omarrun/5195512539/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Motacilla alba	White Wagtail - Motacilla alba - Maríuerla	http://www.flickr.com/photos/omarrun/3570951074/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Bombycilla garrulus	Bohemian Waxwing - Bombycilla carrulus - Silkitoppa	http://www.flickr.com/photos/omarrun/5331125193/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Troglodytes troglodytes	Troglodytes troglodytes, oriešok obyčajný, Eurasian Wren	http://www.flickr.com/photos/jurecek/3154255948/in/set-72157594226352337/	Rudo Jureček	http://www.flickr.com/people/jurecek/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Prunella modularis	Dunnock (Prunella modularis)	http://www.flickr.com/photos/markkilner/4621524053/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Erithacus rubecula	Rougegorge (Erithacus rubecula) Robin	http://www.flickr.com/photos/giuss95/5337847313/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Luscinia luscinia	Thrush Nightingale	http://www.flickr.com/photos/ressaure/4651836059/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Tarsiger cyanurus	藍尾鴝 -雄鳥/琉璃鶲/ ルリビタキ	http://www.flickr.com/photos/hiyashi/3436004519/	Hiyashi Haka	http://www.flickr.com/people/hiyashi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Phoenicurus phoenicurus	Redstart	http://www.flickr.com/photos/ressaure/4584103875/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Oenanthe oenanthe	Northern Wheatear - Oenanthe oenanthe - Steindepill	http://www.flickr.com/photos/omarrun/3554816746/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Turdus merula	Mustarastas	http://www.flickr.com/photos/esaskar/2456509920/	Esa Pitkänen	http://www.flickr.com/people/esaskar/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Turdus philomelos	Song Thrush	http://www.flickr.com/photos/markkilner/3614397598/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Turdus viscivorus	Mistle Thrush	http://www.flickr.com/photos/markkilner/3887380858/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Locustella naevia	Singing Grasshopper Warbler (Locustella naevia)	http://www.flickr.com/photos/rainbirder/5417178888/	Steve  Garvie	http://www.flickr.com/people/rainbirder/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Locustella luscinioides	Savi's Warbler - Hungary_CS4E4143-42	http://www.flickr.com/photos/francesco_veronesi/4570967587/	Francesco Veronesi	http://www.flickr.com/people/francesco_veronesi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Acrocephalus palustris	Acrocephalus palustris	http://commons.wikimedia.org/wiki/File:Acrocephalus_palustris_%28Marek_Szczepanek%29.jpg	Marek Szczepanek	http://commons.wikimedia.org/wiki/User:Pkuczynski/Marek_Szczepanek	http://creativecommons.org/licenses/by-sa/3.0/
Acrocephalus scirpaceus	Reed Warbler (Acrocephalus scirpaceus)	http://www.flickr.com/photos/markkilner/4669496641/in/set-72157594344569266/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sylvia nisoria	Barred Warbler - Sylvia nisoria - Hauksöngvari	http://www.flickr.com/photos/omarrun/5081868639/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sylvia curruca	Sylvia curruca	http://www.flickr.com/photos/quelea1945/5029945262/	cesare dolzani	http://www.flickr.com/people/quelea1945/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sylvia communis	Whitethroat	http://www.flickr.com/photos/ressaure/4636134095/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sylvia borin	Garden warbler - Sylvia borin - Garðsöngvari	http://www.flickr.com/photos/omarrun/5075204527/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sylvia atricapilla	Fauvette à tête noire - Sylvia atricapilla	http://www.flickr.com/photos/giuss95/3442130196/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Phylloscopus borealis	極北柳 鶯-過境鳥	http://www.flickr.com/photos/hiyashi/3919485488/	Hiyashi Haka	http://www.flickr.com/people/hiyashi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Phylloscopus collybita	Chiffchaff - Phylloscopus collybita - Gransöngvari	http://www.flickr.com/photos/omarrun/5148789033/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Phylloscopus trochilus	Willow Warbler - Phylloscopus trochilus - Laufsöngvari	http://www.flickr.com/photos/omarrun/3813149780/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Regulus regulus	Goldcrest - Regulus regulus - Glókollur	http://www.flickr.com/photos/omarrun/3932882508/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Muscicapa striata	Spotted Flycatcher - Muscicapa striata - Grágrípur	http://www.flickr.com/photos/omarrun/5105735670/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Ficedula parva	紅胸姬 鶲 Red-breasted Flycatcher 雄鳥	http://www.flickr.com/photos/hiyashi/4499440918/in/photostream/	Hiyashi Haka	http://www.flickr.com/people/hiyashi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Ficedula hypoleuca	Ficedula hypoleuca	http://www.flickr.com/photos/ressaure/4591959824/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Panurus biarmicus	Bearded Reedling - Hungary_CS4E4580-66	http://www.flickr.com/photos/francesco_veronesi/4570970627/in/photostream/	Francesco Veronesi	http://www.flickr.com/people/francesco_veronesi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Parus montanus	Willow Tit	http://www.flickr.com/photos/ressaure/4046245961/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Parus cinctus	Siberian Tit (Parus cinctus)	http://www.flickr.com/photos/crotach/3234195499/	Crotach	http://www.flickr.com/people/crotach/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Parus cristatus	Crested Tit - Topmejse (Lophophanes cristatus), December 2009	http://www.flickr.com/photos/erikjorgensen/4200626401/	Isfugl	http://www.flickr.com/people/erikjorgensen/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Parus major	Mésange charbonnière (Parus Major)/Great Tit	http://www.flickr.com/photos/giuss95/5339440312/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sitta europaea	Nuthatch again	http://www.flickr.com/photos/ressaure/4055933776/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Certhia familiaris	Treecreeper	http://www.flickr.com/photos/markkilner/2495051932/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Remiz pendulinus	Penduline Tit - Hungary_CS4E4629-88	http://www.flickr.com/photos/francesco_veronesi/4572507152/	Francesco Veronesi	http://www.flickr.com/people/francesco_veronesi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Oriolus oriolus	Golden Oriole - male	http://www.flickr.com/photos/ressaure/4636140489/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Lanius collurio	Lanius collurio - Pie-grièche écorcheur - red-backed shrike	http://www.flickr.com/photos/arpian/3034246509/	arpian	http://www.flickr.com/people/arpian/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Garrulus glandarius	Geai des chênes - Garrulus glandarius Eurasian Jay	http://www.flickr.com/photos/giuss95/5336578317/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Pica pica	Tricked!	http://www.flickr.com/photos/ressaure/4584123451/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Nucifraga caryocatactes	Nutcracker	http://www.flickr.com/photos/ressaure/5078368854/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Sturnus vulgaris	Starling	http://www.flickr.com/photos/markkilner/2418580793/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Passer domesticus	Moineau domestique - Passer domesticus - House Sparrow	http://www.flickr.com/photos/giuss95/1813717423/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Fringilla coelebs	Pinson des arbres	http://www.flickr.com/photos/giuss95/3441153831/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Fringilla montifringilla	Brambling - Fringilla montifringilla - Fjallafinka	http://www.flickr.com/photos/omarrun/5086835441/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Serinus serinus	European Serin - La Salle_0794-31	http://www.flickr.com/photos/francesco_veronesi/3955331823/	Francesco Veronesi	http://www.flickr.com/people/francesco_veronesi/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Carduelis chloris	Verdier d'Europe - Carduelis chloris European Greenfinch	http://www.flickr.com/photos/giuss95/4742764592/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Carduelis carduelis	Chardonneret élégant - Carduelis carduelis	http://www.flickr.com/photos/giuss95/3545863377/in/set-72157600354197608/	Luciano Giussani	http://www.flickr.com/people/giuss95/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Carduelis spinus	Eurasian Siskin - Male	http://www.flickr.com/photos/ressaure/4535456650/in/set-72157622635320013/	Tatiana Bulyonkova	http://www.flickr.com/people/ressaure/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Carduelis cannabina	Linnet (Carduelis cannabina)	http://www.flickr.com/photos/markkilner/3425605651/	Mark Kilner	http://www.flickr.com/people/markkilner/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Carduelis flammea	Common Redpoll - Carduelis flammea - Auðnutittlingur	http://www.flickr.com/photos/omarrun/4519361956/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
Loxia leucoptera	Two-barred Crossbill - Loxia leucoptera - Víxlnefur	http://www.flickr.com/photos/omarrun/3815302378/	Ómar Runólfsson	http://www.flickr.com/people/omarrun/	http://creativecommons.org/licenses/by-nc-sa/2.0/
