Laji	SCI	FI	SV	Luokka2015	Kriteerit	Elinymp-1	Elinymp-muut	Syyt	Uhat	Luokka2010	Muutossyy
Calidris alpina schinzii, etelänsuosirri, sydlig kärrsnäppa	Calidris alpina schinzii	etelänsuosirri	sydlig kärrsnäppa	EN	D1	Rin	Rit	N, R, H	N, H, S	CR	1
Limicola falcinellus, jänkäsirriäinen, myrsnäppa	Limicola falcinellus	jänkäsirriäinen	myrsnäppa	NT		Sn	Ts, Va			LC	1
Calidris maritima, merisirri, skärsnäppa	Calidris maritima	merisirri	skärsnäppa	EN	D1	Tk	Ts, Ri	S	S, I, Kh	VU	4
Calidris minuta, pikkusirri, småsnäppa	Calidris minuta	pikkusirri	småsnäppa	EN	D1	Tk	Ts	S	S, I	NA	2
Calidris pugnax, suokukko, brushane	Philomachus pugnax	suokukko	brushane	CR	A2abc	Sn	Rjn, Rin	N, O, U	N, O, U, P	EN	1
Calidris temminckii, lapinsirri, mosnäppa	Calidris temminckii	lapinsirri	mosnäppa	EN	A2abc	Rjn	Tk, Ts, Rjt, Sn, Ij, Rin	N, Vr	N, U, R, H, I	VU	1
Carduelis chloris, viherpeippo, grönfink	Carduelis chloris	viherpeippo	grönfink	VU	A2abe	Ip	lv, Mk, Ml	Vie	Vie	LC	1
Carduelis flavirostris, vuorihemppo, vinterhämpling	Carduelis flavirostris	vuorihemppo	vinterhämpling	EN	D1	Tl		I	I, S	VU	4
Carpodacus erythrinus, punavarpunen, rosenfink	Carpodacus erythrinus	punavarpunen	rosenfink	NT		lt	Ip, Io, Ih, Rin, Mkt, Ml			NT	
Cepphus grylle, riskilä, tobisgrissla	Cepphus grylle	riskilä	tobisgrissla	EN	A2abe	Vi	Rik	Kh, Vie, P	Kh, Vie, P	LC	1
Charadrius dubius, pikkutylli, mindre strandpipare	Charadrius dubius	pikkutylli	mindre strandpipare	NT		Io	Ij, Rj, Ri			LC	1
Charadrius hiaticula, tylli, större strandpipare	Charadrius hiaticula	tylli	större strandpipare	NT		Rj	Ri, Ts, Ij			NT	
Charadrius morinellus, keräkurmitsa, fjällpipare	Charadrius morinellus	keräkurmitsa	fjällpipare	VU	A2abc	Tk		U	U, I	NT	
Chlidonias niger, mustatiira, svarttärna	Chlidonias niger	mustatiira	svarttärna	CR	D1	Vsr		S	S, Vie, Vr	EN	1
Cinclus cinclus, koskikara, strömstare	Cinclus cinclus	koskikara	strömstare	VU	D1	Vj	Vk, Vp	Muu, H	H	VU	
Circus cyaneus, sinisuohaukka, blå kärrhök	Circus cyaneus	sinisuohaukka	blå kärrhök	VU	A2ab	S	Iv, Mk	Muu	Muu	VU	
Circus macrourus, arosuohaukka, stäpphök	Circus macrourus	arosuohaukka	stäpphök	EN	D1	lv	Sr	U	P	NA	5
Circus pygargus, niittysuohaukka, ängshök	Circus pygargus	niittysuohaukka	ängshök	EN	D1	Rin	Iv, Rjn	Vr, U, H	Vr, U, H, P, S	EN	
Clangula hyemalis, alli, alfågel	Clangula hyemalis	alli	alfågel	NT		Va	Vsk, Ts, Vi	Kh, U, P	Kh, U, P	LC	1
Coturnix coturnix, viiriäinen, vaktel	Coturnix coturnix	viiriäinen	vaktel	VU	D1	lv		P, Pm, U	P, Pm, Muu	EN	1
Delichon urbicum, räystäspääsky, hussvala	Delichon urbicum	räystäspääsky	hussvala	EN	A2ab	Ir	Kr	U, Pm	U, Pm	LC	1
Dendrocopos leucotos, valkoselkätikka, vitryggig hackspett	Dendrocopos leucotos	valkoselkätikka	vitryggig hackspett	VU	D1	Mlv	Mkt, Ip	Ml, Mp, R	Ml, Mp	EN	1
Emberiza aureola, kultasirkku, gyllensparv	Emberiza aureola	kultasirkku	gyllensparv	CR	D1	Rin	Rjn	U, P	P, N, S, U	CR	
Emberiza hortulana, peltosirkku, ortolansparv	Emberiza hortulana	peltosirkku	ortolansparv	EN	A2ab	lv	ln	U, Pm	U, Pm	EN	
Emberiza rustica, pohjansirkku, videsparv	Emberiza rustica	pohjansirkku	videsparv	NT		Sr	Sk, Mkt, Mlk			VU	1
Emberiza schoeniclus, pajusirkku, sävsparv	Emberiza schoeniclus	pajusirkku	sävsparv	VU	A2ab	Rin	Vsr, Io, Sjn, S	Muu	Muu	LC	1
Eremophila alpestris, tunturikiuru, berglärka	Eremophila alpestris	tunturikiuru	berglärka	CR	D1	Tk		U	U, I, Muu	CR	
Falco peregrinus, muuttohaukka, pilgrimsfalk	Falco peregrinus	muuttohaukka	pilgrimsfalk	VU	D1	Sn	K	Kh, P, O	H, Ke, Vr, O	VU	
Falco rusticolus, tunturihaukka, jaktfalk	Falco rusticolus	tunturihaukka	jaktfalk	CR	D1	Tk		P, H, Vie	H, Ke, I	EN	1
Fulica atra, nokikana, sothöna	Fulica atra	nokikana	sothöna	EN	A2ab	Vsr	Vi	Muu	P, Muu	LC	1
Gallinago gallinago, taivaanvuohi, enkelbeckasin	Gallinago gallinago	taivaanvuohi	enkelbeckasin	VU	A2ab	Sn	Rjn, Rin, Sr, Ik, Va	?	P, Muu	LC	1
Gallinago media, heinäkurppa, dubbelbeckasin	Gallinago media	heinäkurppa	dubbelbeckasin	CR	D1	Iv	Ik, Rjn	N	N, U, P, Pm, S	CR	
