FI	Genus	Species	Luokka2015	Luokka2010	Luokka2000	Yks2015	Min2015	Max2015	Avg2015	CHECKYKS
Kirjosiipikäpylintu	Loxia	leucoptera	LC	LC	LC	24000	24000		24000	0
Pikkukäpylintu	Loxia	curvirostra	LC	LC	LC	780000	780000		780000	0
Isokäpylintu	Loxia	pytyopsittacus	LC	LC	LC	150000	150000		150000	0
Punavarpunen	Carpodacus	erythrinus	NT	NT	LC	270000	270000		270000	0
Taviokuurna	Pinicola	enucleator	LC	LC	LC	29000	29000		29000	0
Punatulkku	Pyrrhula	pyrrhula	VU	LC	LC	380000	380000		380000	0
Nokkavarpunen	Coccothraustes	coccothraustes	LC	LC	NT	2000-3000	2000	3000	2500	
Lapinsirkku	Calcarius	lapponicus	LC	LC	LC	290000	290000		290000	0
Pulmunen	Plectrophenax	nivalis	EN	NT	LC	15000	15000		15000	0
Keltasirkku	Emberiza	citrinella	LC	LC	LC	2000000	2000000		2000000	
Peltosirkku	Emberiza	hortulana	EN	EN	VU	36000	36000		36000	0
Pohjansirkku	Emberiza	rustica	NT	VU	LC	440000	440000		440000	0
Pikkusirkku	Emberiza	pusilla	LC	LC	LC	45000	45000		45000	0
Kultasirkku	Emberiza	aureola	CR	CR	CR	0-2	0	2	1	
Pajusirkku	Emberiza	schoeniclus	VU	LC	LC	480000	480000		480000	0
